BAR,DB,PHONE,STORE_SITE_ID,ACTIVE,NOTEPADURL
BAR31,10,NA,,2,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c
BAR32,11,NA,,3,http://10.210.232.187:3000/a0cb9414-461b-4716-8afa-de72a759ea1f
BAR33,12,NA,,4,http://10.210.232.187:3000/daccdfb5-49f1-42ea-b85a-1dc644e01129
BAR19,13,NA,,5,http://10.210.232.187:3000/593f94c4-c699-4b69-8a66-f5e36fe40dc2
BAR27,14,NA,,6,http://10.210.232.187:3000/7209b6fa-c8ad-4b0e-8eb2-c4fbbc237fd5
BAR21,16,NA,,7,http://10.210.232.187:3000/4838764c-1a7e-46d7-8b85-841dbdb86798
BAR22,17,NA,,8,http://10.210.232.187:3000/93e7fdff-b623-4294-a46c-758a95b57479
BAR40,18,NA,,9,http://10.210.232.187:3000/c20ff60e-0b87-468a-a914-9700d78bdab9
BAR41,19,NA,,10,http://10.210.232.187:3000/97508d53-f8ed-401c-acd4-84adf9b949b8
BAR42,20,NA,,11,http://10.210.232.187:3000/ddf37769-3b0e-4c2a-a5c7-2f463c303ee5
BAR43,21,NA,,12,http://10.210.232.187:3000/11d4c6f3-7195-4646-acb4-5dba3284d204
BAR44,22,NA,,13,http://10.210.232.187:3000/a27dd572-9cdd-4728-b47b-466070eb4413
BAR45,23,NA,,14,http://10.210.232.187:3000/bd4e803a-0119-495b-be97-2dda871ba9a5
BAR46,24,NA,,15,http://10.210.232.187:3000/ce4ff63b-8517-483d-ab50-21faf1d4c7f4
BAR47,25,NA,,16,http://10.210.232.187:3000/ef456e70-06e6-4a0f-a043-3795f7eb0f3d
BAR48,26,(215) 361-4190,6445,17,http://10.210.232.187:3000/9b3981d6-4f75-4e5e-96d4-879828cc0eaa
BAR49,27,NA,,18,http://10.210.232.187:3000/cd2e63ac-521d-49b3-a002-a06f2889c224
BAR50,28,NA,,19,http://10.210.232.187:3000/6ff02741-c0fb-4fbf-b507-40a403e7ebbe
BAR51,29,(860) 648-4026,699,20,http://10.210.232.187:3000/92b16b4c-7df2-4ddc-ba8e-fef6940a984b
BAR52,30,NA,,21,
BAR53,31,NA,,22,
BAR54,32,NA,,23,
BAR55,33,NA,,24,
BAR56,34,NA,,25,
BAR57,35,NA,,26,
BAR58,36,(610) 876-6445,,27,
BAR59,37,(508) 432-5000,475,28,
BAR60,38,(717) 367-1943,6014,29,
BAR61,39,NA,,30,
BAR62,40,(860) 355-3234,683,31,
BAR63,41,NA,6314,32,
BAR64,42,NA,,33,
BAR65,43,(610) 444-7020,6516,34,
BAR66,44,NA,,35,
BAR67,45,(215) 997-2883,6519,36,
BAR68,46,NA,,37,
BAR69,47,(215) 464-8280,6468,38,
BAR70,48,(860) 824-7016,677,39,
BAR71,49,(570) 343-5997,6305,40,
BAR72,50,(203) 299-1715,640,41,
BAR73,51,(617) 381-1647,492,42,
BAR74,52,(203) 248-9615,600,43,
BAR75,53,NA,,44,
BAR76,54,(484) 245-0080,6335,45,
BAR77,55,(508) 650-4050,6,46,
BAR78,56,(978) 837-6660,496,47,
BAR79,57,(718) 823-6068,2594,48,
BAR80,58,(718) 320-2902,2592,49,
BAR81,59,(203) 312-0482,2612,50,
BAR82,60,(401) 268-3808,737,51,
BAR83,61,(508) 833-1302,,52,
BAR84,62,(781) 397-0006,12,53,
BAR85,63,(610) 282-4200,62,54,
BAR86,64,NA,,55,
BAR87,65,(617) 522-4300,75,56,
BAR88,66,(617) 666-1024,498,57,
BAR89,67,(570) 743-0106,6453,58,
BAR90,68,(215) 513-0400,6472,59,
BAR91,69,(570) 271-0470,6262,60,
BAR92,70,(508) 366-3961,497,61,
BAR93,71,(860) 688-0860,619,62,
BAR94,72, NA,,63,
BAR95,73,(203) 254-8478,650,64,
BAR96,74,(617) 969-6410,446,65,
BAR97,75,(215) 862-9061,6106,66,
BAR98,76,(610) 989-0781,6507,67,
BAR99,77, NA,,68,
BAR100,78, NA,,69,
BAR101,79, NA,,70,
BAR102,80, NA,,71,
BAR103,81,(781) 329-1050,416,72,
BAR104,82,(508) 842-1911,91,73,
BAR105,83,(215) 538-3399,6476,74,
BAR106,84,(215) 643-4567,6513,75,
BAR107,85, NA,,76,
BAR108,86,(570) 329-2002,6122,77,
BAR109,87,(508) 853-8791,37,78,
BAR110,88, NA,,79,
BAR111,89, NA,,80,
